4,0.00,0.57
4,40.18,0.24
4,43.87,0.19
4,48.35,0.18
4,49.33,0.16
4,50.35,0.16
4,48.91,0.18
4,49.17,0.18
4,49.59,0.19
4,49.71,0.19
4,49.14,0.18
4,48.68,0.22
4,49.35,0.17
4,49.60,0.15
4,12.39,1.39
4,19.53,1.34
4,6.55,1.39
4,26.30,0.21
4,48.72,0.19
4,48.59,0.21
4,49.12,0.19
4,47.16,0.19
4,49.38,0.16
4,49.11,0.21
4,48.88,0.18
4,47.98,0.28
4,48.80,0.17
4,49.59,0.22
4,49.86,0.18
4,49.30,0.17
4,48.77,0.20
4,49.29,0.15
4,48.26,0.19
4,48.43,0.18
4,47.40,0.22
4,47.11,0.21
4,48.18,0.18
4,48.05,0.18
4,48.34,0.18
4,48.59,0.20
4,47.82,0.26
4,48.25,0.22
4,48.23,0.19
4,49.04,0.19
4,49.01,0.17
4,50.01,0.19
4,48.84,0.22
4,48.24,0.22
4,47.97,0.17
4,48.15,0.17
4,48.60,0.18
4,48.94,0.21
4,49.24,0.17
4,48.44,0.16
4,48.73,0.18
4,48.97,0.19
4,48.14,0.22
4,46.40,0.20
4,43.81,0.20
4,45.13,0.15
4,31.80,0.17
4,30.04,0.17
4,29.97,0.19
4,30.03,0.18
4,33.01,0.19
4,47.31,0.20
4,46.96,0.18
4,47.87,0.18
4,35.01,0.19
4,48.35,0.20
4,49.27,0.17
4,48.13,0.29
4,49.64,0.17
4,49.44,0.25
4,49.51,0.19
4,50.49,0.16
4,49.07,0.18
4,48.17,0.20
4,45.79,0.17
4,49.03,0.18
4,48.21,0.21
4,45.06,0.15
4,47.81,0.23
4,43.91,0.21
4,47.59,0.16
4,46.85,0.19
4,46.17,0.17
4,47.86,0.19
4,47.86,0.20
4,45.75,0.24
4,44.88,0.20
4,49.02,0.18
4,48.87,0.17
4,48.04,0.18
4,48.60,0.19
4,47.65,0.20
4,47.41,0.20
4,47.91,0.17
4,47.42,0.17
4,47.76,0.17
4,47.77,0.16
4,47.18,0.19
4,47.94,0.21
4,48.03,0.20
4,48.09,0.17
4,48.42,0.16
4,48.50,0.18
4,48.93,0.22
4,30.78,0.25
4,29.77,0.20
4,30.12,0.17
4,30.07,0.17
4,29.98,0.15
4,47.04,0.24
4,45.84,0.20
4,48.14,0.18
4,47.98,0.19
4,47.26,0.21
4,44.15,0.19
4,44.67,0.17
4,48.10,0.19
4,46.88,0.23
4,45.45,0.18
4,48.79,0.17
4,48.44,0.17
4,49.13,0.19
4,49.80,0.19
4,49.59,0.19
4,49.66,0.22
4,47.78,0.20
4,47.81,0.19
4,48.45,0.15
4,49.59,0.21
4,48.69,0.17
4,47.55,0.17
4,48.10,0.18
4,48.94,0.19
4,48.72,0.19
4,48.43,0.16
4,46.46,0.21
4,44.72,0.18
4,47.25,0.19
4,48.06,0.18
4,49.16,0.17
4,49.02,0.18
4,46.81,0.20
4,42.08,0.23
4,44.97,0.19
4,48.73,0.22
4,47.19,0.20
4,48.45,0.19
4,48.26,0.21
4,48.53,0.22
4,47.66,0.25
4,47.78,0.24
4,49.19,0.21
4,49.58,0.19
4,49.01,0.24
4,47.27,0.16
4,48.55,0.19
4,46.68,0.19
4,42.59,0.16
4,39.75,0.23
4,43.68,0.20
4,46.08,0.19
4,45.70,0.22
4,45.23,0.20
4,42.58,0.17
4,46.73,0.21
4,47.41,0.20
4,45.42,0.20
4,46.72,0.20
4,46.73,0.18
4,45.67,0.22
4,48.30,0.21
4,47.63,0.20
4,47.54,0.17
4,47.84,0.18
4,47.83,0.21
4,47.20,0.16
4,47.55,0.27
4,47.56,0.16
4,47.74,0.17
4,48.45,0.17
4,48.11,0.19
4,40.56,1.58
4,40.30,0.23
4,42.98,0.19
4,46.28,0.17
4,42.24,0.18
4,43.64,0.17
4,43.96,0.19
4,45.49,0.19
4,45.85,0.17
4,44.40,0.17
4,39.02,0.31
4,42.70,0.21
4,45.33,0.17
4,46.77,0.19
4,46.84,0.18
4,45.90,0.22
4,43.56,0.20
4,43.65,0.23
4,45.84,0.18
4,47.44,0.19
4,44.26,0.20
4,43.97,0.19
4,48.04,0.21
4,45.88,0.20
4,45.30,0.19
4,47.95,0.16
4,47.71,0.16
4,43.92,0.20
4,45.45,0.16
4,45.60,0.31
4,37.69,0.23
4,46.87,0.23
4,45.38,0.19
4,46.64,0.19
4,47.93,0.19
4,45.19,0.17
4,47.97,0.15
4,48.43,0.22
4,46.90,0.16
4,48.27,0.19
4,48.96,0.22
4,49.37,0.15
4,50.10,0.18
4,45.67,0.21
4,45.81,0.19
4,48.82,0.18
4,48.89,0.18
4,44.42,0.23
4,46.53,0.17
4,47.25,0.17
4,47.07,0.24
4,46.96,0.22
4,41.97,0.17
4,45.57,0.20
4,43.57,0.20
4,47.80,0.45
4,44.32,0.24
4,43.67,0.20
4,37.05,0.17
4,45.42,0.19
4,47.95,0.17
4,46.24,0.19
4,45.31,0.17
4,44.50,0.21
4,47.04,0.19
4,42.79,0.23
4,44.46,0.19
